date,title,year,rating,rewatch,liked,reviewed,url,reviewUrl,slug,filmUid,lid
2026-08-29,"Dude, Where's My Car?",2000,3.5,1,0,0,https://letterboxd.com/nichtlegacy/film/dude-wheres-my-car/3/,,dude-wheres-my-car,film:47562,1ZJi
2026-08-28,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,3,1,0,0,https://letterboxd.com/nichtlegacy/film/dont-be-a-menace-to-south-central-while-drinking-your-juice-in-the-hood/1/,,dont-be-a-menace-to-south-central-while-drinking-your-juice-in-the-hood,film:46067,1VQa
2026-08-20,Obsession,2025,4,0,0,0,https://letterboxd.com/nichtlegacy/film/obsession-2025/,,obsession-2025,film:1234472,PNqo
2026-08-15,Minions & Monsters,2026,3,0,0,0,https://letterboxd.com/nichtlegacy/film/minions-monsters-2026/,,minions-monsters-2026,film:1196808,Odry
2026-08-09,The Ministry of Ungentlemanly Warfare,2024,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-ministry-of-ungentlemanly-warfare/,,the-ministry-of-ungentlemanly-warfare,film:717126,u5zu
2026-08-07,Entergalactic,2022,3,0,0,0,https://letterboxd.com/nichtlegacy/film/entergalactic/,,entergalactic,film:925555,CPN4
2026-07-30,Spider-Man: Brand New Day,2026,4,0,1,0,https://letterboxd.com/nichtlegacy/film/spider-man-brand-new-day/,,spider-man-brand-new-day,film:872871,ACJE
2026-07-28,Masters of the Universe,2026,3,0,0,0,https://letterboxd.com/nichtlegacy/film/masters-of-the-universe-2026/17/,,masters-of-the-universe-2026,film:386613,gdKW
2026-07-25,How to Make a Killing,2026,3,0,0,0,https://letterboxd.com/nichtlegacy/film/how-to-make-a-killing-2026/,,how-to-make-a-killing-2026,film:399504,gLi8
2026-07-24,Never Goin' Back,2018,3,0,0,0,https://letterboxd.com/nichtlegacy/film/never-goin-back/,,never-goin-back,film:420473,hDQe
2026-07-21,The Odyssey,2026,4.5,0,1,0,https://letterboxd.com/nichtlegacy/film/the-odyssey-2026/,,the-odyssey-2026,film:1255394,QFQU
2026-07-19,Jay and Silent Bob Strike Back,2001,3.5,1,0,0,https://letterboxd.com/nichtlegacy/film/jay-and-silent-bob-strike-back/2/,,jay-and-silent-bob-strike-back,film:50355,26ZM
2026-07-19,Minions,2015,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/minions/,,minions,film:150541,6jCO
2026-07-19,Minions: The Rise of Gru,2022,3,0,0,0,https://letterboxd.com/nichtlegacy/film/minions-the-rise-of-gru/,,minions-the-rise-of-gru,film:371005,fz9w
2026-07-17,What We Do in the Shadows,2014,3,0,0,0,https://letterboxd.com/nichtlegacy/film/what-we-do-in-the-shadows/,,what-we-do-in-the-shadows,film:172537,7eQy
2026-07-15,Scouts Guide to the Zombie Apocalypse,2015,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/scouts-guide-to-the-zombie-apocalypse/,,scouts-guide-to-the-zombie-apocalypse,film:197624,8i6Q
2026-07-14,High School,2010,4,1,0,0,https://letterboxd.com/nichtlegacy/film/high-school-2010/2/,,high-school-2010,film:34391,1rsW
2026-07-13,Half Baked,1998,4.5,1,0,0,https://letterboxd.com/nichtlegacy/film/half-baked/5/,,half-baked,film:47108,1Yy4
2026-06-28,Ghost World,2001,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/ghost-world/,,ghost-world,film:50986,28Dy
2026-06-21,Nirvanna the Band the Show the Movie,2025,4,1,0,0,https://letterboxd.com/nichtlegacy/film/nirvanna-the-band-the-show-the-movie/2/,,nirvanna-the-band-the-show-the-movie,film:1041012,HG9a
2026-06-19,Ted 2,2015,3.5,1,0,0,https://letterboxd.com/nichtlegacy/film/ted-2/1/,,ted-2,film:152464,6oCY
2026-06-03,Scary Movie,2026,3,0,0,0,https://letterboxd.com/nichtlegacy/film/scary-movie-2026/,,scary-movie-2026,film:1156910,MxEo
2026-05-30,Bottoms,2023,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/bottoms/,,bottoms,film:731222,uGf2
2026-05-22,It's What's Inside,2024,4,0,0,0,https://letterboxd.com/nichtlegacy/film/its-whats-inside/,,its-whats-inside,film:949053,DOV4
2026-05-15,Project Hail Mary,2026,4.5,0,1,0,https://letterboxd.com/nichtlegacy/film/project-hail-mary/,,project-hail-mary,film:611288,pEeQ
2026-05-08,Man on the Moon,1999,4,1,0,0,https://letterboxd.com/nichtlegacy/film/man-on-the-moon/1/,,man-on-the-moon,film:50749,281k
2026-05-04,Star Wars,1977,4.5,1,1,0,https://letterboxd.com/nichtlegacy/film/star-wars/2/,,star-wars,film:2706,72s
2026-05-03,Man on the Moon,1999,4,0,0,0,https://letterboxd.com/nichtlegacy/film/man-on-the-moon/,,man-on-the-moon,film:50749,281k
2026-04-27,Wild Tales,2014,3,0,0,0,https://letterboxd.com/nichtlegacy/film/wild-tales/,,wild-tales,film:188497,7UmK
2026-04-26,Jojo Rabbit,2019,3,0,0,0,https://letterboxd.com/nichtlegacy/film/jojo-rabbit/,,jojo-rabbit,film:444600,iEBG
2026-04-24,Futurama: Bender's Big Score,2007,3,0,0,0,https://letterboxd.com/nichtlegacy/film/futurama-benders-big-score/,,futurama-benders-big-score,film:48087,215Y
2026-04-22,Roommates,2026,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/roommates-2026/,,roommates-2026,film:1387237,WcPU
2026-04-20,Hoppers,2026,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/hoppers/,,hoppers,film:1207557,OFpg
2026-04-18,Swiss Army Man,2016,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/swiss-army-man/,,swiss-army-man,film:277413,bDG2
2026-04-18,The Banker,2020,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-banker-2020/,,the-banker-2020,film:554135,nfyC
2026-04-17,Step Brothers,2008,3,0,0,0,https://letterboxd.com/nichtlegacy/film/step-brothers/,,step-brothers,film:44768,1SsE
2026-04-12,Ted,2012,4,1,0,0,https://letterboxd.com/nichtlegacy/film/ted/2/,,ted,film:57376,2pgc
2026-04-06,Memento,2000,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/memento/,,memento,film:51973,2bcK
2026-04-05,Taxi Driver,1976,3,0,0,0,https://letterboxd.com/nichtlegacy/film/taxi-driver/,,taxi-driver,film:51947,2b8y
2026-04-05,Nirvanna the Band the Show the Movie,2025,4,1,0,0,https://letterboxd.com/nichtlegacy/film/nirvanna-the-band-the-show-the-movie/1/,,nirvanna-the-band-the-show-the-movie,film:1041012,HG9a
2026-04-05,Inglourious Basterds,2009,4,1,1,0,https://letterboxd.com/nichtlegacy/film/inglourious-basterds/,,inglourious-basterds,film:41352,1JzG
2026-04-02,Mystery Team,2009,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/mystery-team/,,mystery-team,film:26446,16Nu
2026-04-02,"Me, Myself & Irene",2000,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/me-myself-irene/,,me-myself-irene,film:50505,27nY
2026-04-01,Pokémon 3: The Movie,2000,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/pokemon-3-the-movie/,,pokemon-3-the-movie,film:45710,1UUA
2026-04-01,Pokémon the Movie 2000,1999,3,0,0,0,https://letterboxd.com/nichtlegacy/film/pokemon-the-movie-2000/,,pokemon-the-movie-2000,film:44441,1RBU
2026-04-01,The Super Mario Galaxy Movie,2026,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/the-super-mario-galaxy-movie/,,the-super-mario-galaxy-movie,film:1110080,KzPa
2026-03-31,Donnie Darko,2001,4,1,1,0,https://letterboxd.com/nichtlegacy/film/donnie-darko/1/,,donnie-darko,film:51910,2b2A
2026-03-31,Jackass 3D,2010,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/jackass-3d/,,jackass-3d,film:41675,1KpM
2026-03-31,Sorry to Bother You,2018,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/sorry-to-bother-you/,,sorry-to-bother-you,film:358271,f21E
2026-03-30,Shriek If You Know What I Did Last Friday the Thirteenth,2000,2,0,0,0,https://letterboxd.com/nichtlegacy/film/shriek-if-you-know-what-i-did-last-friday-the-thirteenth/,,shriek-if-you-know-what-i-did-last-friday-the-thirteenth,film:49461,24FA
2026-03-29,Human Traffic,1999,3,0,0,0,https://letterboxd.com/nichtlegacy/film/human-traffic/1/,,human-traffic,film:45577,1Uz8
2026-03-29,Zootopia 2,2025,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/zootopia-2/1/,,zootopia-2,film:977342,F0vO
2026-03-28,Nirvanna the Band the Show the Movie,2025,4,0,0,0,https://letterboxd.com/nichtlegacy/film/nirvanna-the-band-the-show-the-movie/,,nirvanna-the-band-the-show-the-movie,film:1041012,HG9a
2026-03-25,Peaky Blinders: The Immortal Man,2026,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/peaky-blinders-the-immortal-man/,,peaky-blinders-the-immortal-man,film:787849,x3yq
2026-03-20,Fun with Dick and Jane,2005,3,0,0,0,https://letterboxd.com/nichtlegacy/film/fun-with-dick-and-jane-1996/,,fun-with-dick-and-jane-1996,film:47986,20PG
2026-03-18,Mercy,2026,3,0,0,0,https://letterboxd.com/nichtlegacy/film/mercy-2026/,,mercy-2026,film:1119565,KYv0
2026-03-14,Scary Movie,2000,4,1,1,0,https://letterboxd.com/nichtlegacy/film/scary-movie-2000/2/,,scary-movie-2000,film:49443,24CG
2026-02-28,Scott Pilgrim vs. the World,2010,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/scott-pilgrim-vs-the-world/,,scott-pilgrim-vs-the-world,film:37833,1Aq6
2026-02-21,Menace II Society,1993,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/menace-ii-society/,,menace-ii-society,film:47084,1Yuc
2026-02-20,Marty Supreme,2025,4,0,0,0,https://letterboxd.com/nichtlegacy/film/marty-supreme/,,marty-supreme,film:1197499,Off0
2026-02-13,The Housemaid,2025,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-housemaid-2025/,,the-housemaid-2025,film:1255319,QFEO
2026-02-07,Bill & Ted's Bogus Journey,1991,2.5,1,0,0,https://letterboxd.com/nichtlegacy/film/bill-teds-bogus-journey/1/,,bill-teds-bogus-journey,film:50893,28oy
2026-02-05,The Shadow's Edge,2025,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/the-shadows-edge-2025/,,the-shadows-edge-2025,film:1299958,SxME
2026-01-24,Election,1999,3,0,0,0,https://letterboxd.com/nichtlegacy/film/election/,,election,film:47146,1YEc
2026-01-24,The SpongeBob Movie: Search for SquarePants,2025,4,0,0,0,https://letterboxd.com/nichtlegacy/film/the-spongebob-movie-search-for-squarepants/,,the-spongebob-movie-search-for-squarepants,film:892884,BsNy
2026-01-22,Once Upon a Time... in Hollywood,2019,4,0,0,0,https://letterboxd.com/nichtlegacy/film/once-upon-a-time-in-hollywood/,,once-upon-a-time-in-hollywood,film:397859,gH0O
2026-01-19,BlackBerry,2023,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/blackberry-2023/,,blackberry-2023,film:915230,CoVK
2026-01-17,BASEketball,1998,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/baseketball/,,baseketball,film:43409,1OVs
2026-01-14,Ferris Bueller's Day Off,1986,4,1,0,0,https://letterboxd.com/nichtlegacy/film/ferris-buellers-day-off/1/,,ferris-buellers-day-off,film:47219,1YPY
2026-01-12,Five Nights at Freddy's 2,2025,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/five-nights-at-freddys-2/,,five-nights-at-freddys-2,film:1111883,KEvY
2026-01-12,KPop Demon Hunters,2025,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/kpop-demon-hunters/,,kpop-demon-hunters,film:720953,ufwK
2026-01-10,Small Soldiers,1998,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/small-soldiers/,,small-soldiers,film:45197,1TzQ
2026-01-09,The Wedding Singer,1998,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-wedding-singer/,,the-wedding-singer,film:45699,1USO
2026-01-08,Crazy,2000,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/crazy/,,crazy,film:47220,1YQ8
2026-01-04,Go,1999,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/go/,,go,film:47167,1YHA
2026-01-03,Kung Fu Hustle,2004,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/kung-fu-hustle/,,kung-fu-hustle,film:47128,1YBi
2026-01-03,Good Fortune,2025,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/good-fortune-2025/,,good-fortune-2025,film:1005018,GavG
2026-01-03,10 Things I Hate About You,1999,4,0,0,0,https://letterboxd.com/nichtlegacy/film/10-things-i-hate-about-you/1/,,10-things-i-hate-about-you,film:49047,23AO
2026-01-02,Ants in the Pants 2,2002,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/ants-in-the-pants-2/,,ants-in-the-pants-2,film:47028,1Yla
2026-01-01,Ants in the Pants,2000,3,0,0,0,https://letterboxd.com/nichtlegacy/film/ants-in-the-pants/,,ants-in-the-pants,film:47120,1YA0
2026-01-01,Holmes & Watson,2018,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/holmes-watson/,,holmes-watson,film:359983,f6tM
2025-12-30,Soloalbum,2003,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/soloalbum/,,soloalbum,film:47297,1Z2y
2025-12-29,No More School,2000,4,0,0,0,https://letterboxd.com/nichtlegacy/film/no-more-school/,,no-more-school,film:47035,1Ymi
2025-12-29,David Holmes: The Boy Who Lived,2023,4,0,0,0,https://letterboxd.com/nichtlegacy/film/david-holmes-the-boy-who-lived/,,david-holmes-the-boy-who-lived,film:1076653,JaRI
2025-12-28,Mardi Gras: Spring Break,2011,2.5,1,0,0,https://letterboxd.com/nichtlegacy/film/mardi-gras-spring-break/1/,,mardi-gras-spring-break,film:8015,kQK
2025-12-27,Rat Race,2001,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/rat-race/,,rat-race,film:46738,1XAo
2025-12-26,Dinner for Schmucks,2010,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/dinner-for-schmucks/,,dinner-for-schmucks,film:25839,15dA
2025-12-25,Now You See Me: Now You Don't,2025,3,0,0,0,https://letterboxd.com/nichtlegacy/film/now-you-see-me-now-you-dont-2025/,,now-you-see-me-now-you-dont-2025,film:358757,f3i2
2025-12-24,Mardi Gras: Spring Break,2011,2.5,0,0,0,https://letterboxd.com/nichtlegacy/film/mardi-gras-spring-break/,,mardi-gras-spring-break,film:8015,kQK
2025-12-24,The Royal Tenenbaums,2001,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/the-royal-tenenbaums/,,the-royal-tenenbaums,film:47169,1YHU
2025-12-23,Scary Movie,2000,3.5,1,0,0,https://letterboxd.com/nichtlegacy/film/scary-movie-2000/1/,,scary-movie-2000,film:49443,24CG
2025-12-22,American Beauty,1999,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/american-beauty/,,american-beauty,film:2703,71Y
2025-12-21,The Secret Life of Walter Mitty,2013,3,0,0,0,https://letterboxd.com/nichtlegacy/film/the-secret-life-of-walter-mitty-2013/,,the-secret-life-of-walter-mitty-2013,film:92619,3SWy
2025-12-20,High Fidelity,2000,3.5,0,0,0,https://letterboxd.com/nichtlegacy/film/high-fidelity/,,high-fidelity,film:51813,2aMW
2025-12-14,The Running Man,2025,4,0,0,0,https://letterboxd.com/nichtlegacy/film/the-running-man-2025/,,the-running-man-2025,film:716178,u36A
